공항코드(IATA),영문공항명,한글공항명,지역,영문국가명,한글국가명,영문도시명
BAG,Baguio Loakan Airport,로아칸 공항,아시아,Philippines,필리핀,Baguio
BJR,Bahir Dar Dejazmach Belay Zeleke Airport,바하다르 공항,아프리카,Ethiopia,이디오피아,Bahar Dar
BHV,Bahawalpur Airport,바하왈퍼 공항,아시아,Pakistan,파키스탄,Bahawalpur
BHI,Bahia Blanca Comandante Airport,코망단트 에스포라 공항,중남미,Argentina,아르헨티나,Bahia Blanca
BFQ,Bahia Pinas Airport,바이아 피나스 공항,중남미,Panama,파나마,Bahia Pina
BSC,Bahia Solano Airport,호세 셀레스티노 무치스 공항,중남미,Colombia,콜롬비아,Bahia Solano
BAH,Bahrain International Airport,바레인 국제공항,중동,Bahrain,바레인,Bahrain
BAY,Baia Mare Airport,바이아마레 공항,유럽,Romania,루마니아,Baia Mare
DBC,Baicheng Chang'an Airport,백성 장안 공항,아시아,China,중국,Baicheng
BIB,Baidoa Airport,바이도아 공항,아프리카,Somalia,소말리아,Baidoa
YBC,Baie Comeau Airport,바코모 공항,북미,Canada,캐나다,Baie Comeau
AEB,Baise Bama Airport,바이스 바마 공항,아시아,China,중국,Baise
BJW,Bajawa Airport,바자와 공항,아시아,Indonesia,인도네시아,Bajawa
BJU,Bajura Airport,바주라 공항,아시아,Nepal,네팔,Bajura
BKM,Bakalalan Airport,바카라란 공항,아시아,Malaysia,말레이시아,Bakelalan
YBK,Baker Lake Airport,베이커 레이크 공항,북미,Canada,캐나다,Baker Lake
BFL,Bakersfield Meadows Field Airport,미도우즈 필드 공항,북미,United States of America,미국,Bakersfield
GYD,Baku Heydar Aliyev International Airport,헤이다 알리예프 국제공항,유럽,Azerbaijan,아제르바이잔,Baku
SOB,Balaton Sarmellek Airport,사멀렉 공항 ,유럽,Hungary,헝가리,Balaton
TRE,Tiree Airport,타이리 공항,유럽,United Kingdom,영국,Balemartine
BQA,Dr Juan C Angara,발러 공항,아시아,Philippines,필리핀,Baler
BZI,Balikesir Merkez Airport,발리케시르 공항,유럽,Turkey,터키,Balikesir
EDO,Edremit Korfez Airport,에드레밋 코르페즈 공항,유럽,Turkey,터키,Balikesir
MQJ,Moma Airport,모모 공항,유럽,Russian Federation,러시아,Balikesir
BPN,Balikpapan Sultan Aji Muhamad Sulaiman Airport,세펭간 국제공항,아시아,Indonesia,인도네시아,Balikpapan
OPU,Balimo Airport,발리모 공항,대양주,Papua New Guinea,파푸아뉴기니,Balimo
BKN,Balkanabat Airport,발칸나바트 공항,아시아,Turkmenistan,투르크메니스탄,Balkanabat
BXH,Balkhash Airport,발하슈 공항,아시아,Kazakhstan,카자흐스탄,Balkhash
BNK,Ballina Byron Airport,밸리나 바이런 게이트웨이 공항,대양주,Australia,오스트레일리아,Ballina
BBA,Balmaceda Teniente Vidal Airport,발마세다 공항,중남미,Chile,칠레,Balmaceda
BZY,Balti International Airport,발티국제공항,유럽,Moldova,몰도바,Balti
BWI,Baltimore/Washington International Airport,볼티모어 워싱턴 국제공항,북미,United States of America,미국,Baltimore
MTN,Baltimore Martin State Airport,마틴 스테이트 공항,북미,United States of America,미국,Baltimore
RGH,Balurghat Airport,발루갓 공항,아시아,India,인도,Balurghat
BXR,Bam Airport,밤 공항,중동,Iran,이란,Bam
ABM,Northern Peninsula Airport,북부 반도 공항,대양주,Australia,오스트레일리아,Bamaga
BKO,Bamako Modibo Ke ita International Airport,세노우 공항,아프리카,Mali,말리,Bamako
BPC,Bamenda Airport,바멘다 공항,아프리카,Cameroon,카메룬,Bamenda
BIN,Bamyan Airport,바미얀 공항,중동,Afghanistan,아프카니스탄,Bamyan
HOE,Houeisay Airport,반 핫 사이 공항,아시아,Laos,라오스,Ban Hat Tai
BMV,Buon Ma Thuot Airport,풍덕 공항,아시아,Vietnam,베트남,Ban Me Thuot
BTJ,Banda Aceh International Airport,발랑 빈탕 공항,아시아,Indonesia,인도네시아,Banda Aceh
BND,Bandar Abbas Airport,반다르압바스 국제공항,중동,Iran,이란,Bandar Abbass
TKG,Bandar Lampung Radin Inten II Airport,라딘 인텐 II 공항  ,아시아,Indonesia,인도네시아,Bandar Lampung
BDH,Bandar Lengeh Airport,반다랭게 공항,중동,Iran,이란,Bandar Lengeh
BWN,Bandar Seri Begawan Brunei International Airport,브루나이 국제공항,아시아,Brunei,브루나이,Bandar Seri Begawan
BDO,Bandung Husein Sastranegara Airport,후세인 사스트라네가라 공항,아시아,Indonesia,인도네시아,Bandung
BLR,Bangalore Kempegowda International Airport,벵갈루루 국제공항,아시아,India,인도,Bangalore
BKK,Bangkok Suvarnabhumi International Airport,수완나푸미 국제공항 ,아시아,Thailand,태국,Bangkok
DMK,Bangkok Don Mueang International Airport,방콕 국제공항  ,아시아,Thailand,태국,Bangkok
BGR,Bangor International Airport,뱅거 국제공항,북미,United States of America,미국,Bangor
BGF,Bangui Airport,방기 음포코 국제공항,아프리카,Central African Republic,중앙아프리카공화국,Bangui
BNX,Banja Luka International Airport,바냐루카 국제공항,유럽,Bosnia and Herzegovina,보스니아 헤르체고비나,Banja Luka
BDJ,Banjarmasin Syamsudin Noor Airport,시암수딘 누어 공항,아시아,Indonesia,인도네시아,Banjarmasin
BJL,Banjul Yundum International Airport,반줄 국제공항,아프리카,Gambia,감비아,Banjul
BWU,Sydney Bankstown Airport,뱅크스타운 공항,대양주,Australia,오스트레일리아,Bankstown
BMO,Bhamo Airport,바모 공항,아시아,Myanmar,버마,Banmaw
BWX,Banyuwangi Blimbingsari Airport,반유방기 공항,아시아,Indonesia,인도네시아,Banyuwangi
BSD,Baoshan Yunduan Airport,바오산  공항,아시아,China,중국,Baoshan
BAV,Baotou Donghe Airport,바오터우  공항,아시아,China,중국,Baotou
BHB,Hancock County-Bar Harbor Airport,바하버 카운티 바하버 공항,북미,United States of America,미국,Bar Harbor
BCA,Baracoa Airport,구스타보 리조 공항,중남미,Cuba,쿠바,Baracoa
BRX,Barahona Airport,마리아 몬테드 국제공항,중남미,Dominican Republic,도미니카공화국,Barahona
BGI,Bridgetown Grantley Adams International Airport,그랜틀리 아담스 국제공항,중남미,Barbados,바베이도스,Barbados
BCI,Barcaldine Airport,바르칼딘 공항,대양주,Australia,오스트레일리아,Barcaldine
BCN,Barcelona-El Prat Josep Tarradellas Airport,바르셀로나 국제공항,유럽,Spain,스페인,Barcelona
BLA,Barcelona Gen J A Anzoategui Airport,제너널 호세 안토니오 안조아테귀 공항,중남미,Venezuela,베네수엘라,Barcelona
BAZ,Barcelos Airport,바르셀로나 공항,중남미,Brazil,브라질,Barcelos
BDU,Bardufoss Airport,바두포스 공항,유럽,Norway,노르웨이,Bardufoss
BEK,Bareilly Airport,바릴리 공항,아시아,India,인도,Bareilly
BRI,Bari Palese Airport,바리 카롤 워틸랴 국제공항 ,유럽,Italy,이탈리아,Bari
BNS,Barinas Airport,바리나스 공항,중남미,Venezuela,베네수엘라,Barinas
BBN,Bario Airport,바리오 사라왁 공항,아시아,Malaysia,말레이시아,Bario
BZL,Barisal Airport,바리살 공항,아시아,Bangladesh,방글라데시,Barisal
BAX,Barnaul Airport,바르나울 공항,유럽,Russian Federation,러시아,Barnaul
BRM,Barquisimeto Airport,바르케시마토 공항,중남미,Venezuela,베네수엘라,Barquisimento
BRR,Barra Airport,노스 베이 공항,유럽,United Kingdom,영국,Barra
BPG,Barra do Garcas Airport,바라도가르카스 공항,중남미,Brazil,브라질,Barra Do Garcas
EJA,Barrancabemeja Yariguies Airport,배리구이즈 공항,중남미,Colombia,콜롬비아,Barrancabermeja
BAQ,Barranquilla Ernesto Cortissoz Airport,에르네스토 코르티쇼즈 공항,중남미,Colombia,콜롬비아,Barranquilla
BRA,Barreiras Airport,바레이라스 공항,중남미,Brazil,브라질,Barreiras
BAT,Barretos Airport,섀파이 암사이 공항,중남미,Brazil,브라질,Barretos
YLK,Lake Simcoe Regional Airport,레이크 심코 리저널,북미,Canada,캐나다,Barrie-Orillia
BRW,Barrow Wiley Post/Will Rogers Memorial Airport,윌 로저스 미모리얼 공항 ,북미,United States of America,미국,Barrow
BSU,Basankusu Airport,바산쿠수 공항,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Basankusu
BSO,Basco Airport,바스코 공항,아시아,Philippines,필리핀,Basco
BSL,EuroAirport Basel/Mulhouse/Freiburg Swiss,유로공항,유럽,Switzerland,스위스,Basel
BSR,Basrah International Airport,바스라 국제공항,중동,Iraq,이라크,Basra
BIA,Bastia Poretta Airport,포레타 공항,유럽,France,프랑스,Bastia
BSG,Bata International Airport,바타 공항,아프리카,Equatorial Guinea,적도 기니,Bata
BQJ,Batagay Airport,바타가이 공항,유럽,Russian Federation,러시아,Batagay
SUK,Sakkyryr Airport,삭키리 공항,유럽,Russian Federation,러시아,Batagay-Alyta
BTH,Batam Hang Nadim Airport,행 다님 공항,아시아,Indonesia,인도네시아,Batam
BHS,Bathurst Raglan Airport,레글런 공항,대양주,Australia,오스트레일리아,Bathurst
ZBF,Bathurst Regional Airport,배터스트 공항,북미,Canada,캐나다,Bathurst
BRT,Bathurst Island Airport,베더스트아일랜드 공항,대양주,Australia,오스트레일리아,Bathurst Island
BAL,Batman Airport,바트만 공항,유럽,Turkey,터키,Batman
BLJ,Batna Airport,바트나 공항,아프리카,Algeria,알제리,Batna
BTR,Baton Rouge Metropolitan Airport,배턴루지 메트로폴리탄 공항,북미,United States of America,미국,Baton Rouge
BJF,Batsfjord Airport,보트스피오르 공항,유럽,Norway,노르웨이,Batsfjord
BTC,Batticaloa International Airport,바티칼로아 공항,아시아,Sri Lanka,스리랑카,Batticaloa
BTL,Battle Creek Executive Airport,배틀 크릭 이그제큐티브 공항,북미,United States of America,미국,Battle Creek
BTW,Batu Licin Bersujud Airport,바투리신 공항,아시아,Indonesia,인도네시아,Batulicin
BUS,Batumi Airport,바투미 공항,유럽,Georgia,조지아,Batumi
BPF,Batuna Airport,버투나 공항,대양주,Solomon Islands,솔로몬제도,Batuna
BUW,Baubau Betoambari Airport,베토암바리 공항,아시아,Indonesia,인도네시아,Bau Bau
BCU,Bauchi Airport,바우치 공항,아프리카,Nigeria,나이지리아,Bauchi
JTC,Bauru State Airport,바우루-아레아르바 공항,중남미,Brazil,브라질,Bauru
BYM,Bayamo Carlos Manuel de Cespedes Airport,카를로스 마뉴엘 데 세스페데스 공항,중남미,Cuba,쿠바,Bayamo
AXF,Alxa Left Banner Airport,알샤 레프트배너 공항,아시아,China,중국,Bayanhot
BYN,Bayankhongor Airport,바얀콩고르 공항,아시아,Mongolia,몽고,Bayankhongor
RLK,Bayannur Tianjitai Airport,바야누르 톈지타이 공항,아시아,China,중국,Bayannur
BZX,Bazhong Enyang Airport,바중 엔양 공항,아시아,China,중국,Bazhong 
XBE,Bearskin Lake Airport,베어스킨 레이크 공항,북미,Canada,캐나다,Bearskin Lake
BFT,Beaufort County Airport,보퍼트 카운티 공항,북미,United States of America,미국,Beaufort
BPT,Jack Brooks Regional Airport,사우스이스트 텍사스 지역공항 ,북미,United States of America,미국,Beaumont / Port Arthur
WBQ,Beaver Airport,비버 공항,북미,United States of America,미국,Beaver
CBH,Bechar Leger Airport,레저 공항 ,아프리카,Algeria,알제리,Bechar
BKW,Beckley Raleigh County Memorial Airport,베크리럴리 카운티 미모리얼 공항,북미,United States of America,미국,Beckley
BED,Hanscom Field,로렌스 G. 핸스콤 필드 공항,북미,United States of America,미국,Bedford / Hanscom
BEU,Bedourie Airport,베두리 공항,대양주,Australia,오스트레일리아,Bedourie
YBW,Bedwell Harbor Airport,베드웰 하버 공항,북미,Canada,캐나다,Bedwell Harbour
EIS,Beef Island Terrance B Lettsome Airport,비프 아일랜드 공항,중남미,British Virgin Islands,영국령 버진아일랜드,Beef Island /Tortola
LAQ,Beida Labraq Airport,라 브라크 공항,아프리카,Libya,리비아,Beida
MFK,Matsu Beigan Airport,베이간 공항,아시아,Taiwan,대만,Beigan 
BHY,Beihai Fucheng Airport,베이하이  공항,아시아,China,중국,Beihai
NAY,Beijing Nanyuan Airport,난유안 공항,아시아,China,중국,Beijing
PEK,Beijing Capital International Airport,베이징 캐피탈 공항,아시아,China,중국,Beijing
PKX,Beijing Daxing International Airport,베이징 다싱 국제공항,아시아,China,중국,Beijing 
BEW,Beira Airport,베이라 공항,아프리카,Mozambique,모잠비크,Beira
BEY,Beirut Rafic Hariri International Airport,베이루트 국제공항  ,중동,Lebanon,레바논,Beirut
BYJ,Beja Airport,베자 에어베이스,유럽,Portugal,포르투갈,Beja
BJA,Bejaia Airport,수우맘 공항,아프리카,Algeria,알제리,Bejaia
BEL,Belem Val de Cans Airport,발 데 칸즈 공항,중남미,Brazil,브라질,Belem
BFS,Belfast International Airport,벨파스트 국제공항,유럽,United Kingdom,영국,Belfast
BHD,Belfast City George Best Airport,벨파스트 시티 공항,유럽,United Kingdom,영국,Belfast
IXG,Belgaum Airport,삼브르 공항,아시아,India,인도,Belgaum
EGO,Belgorod International Airport,벨고로드 공항,유럽,Russian Federation,러시아,Belgorod
BEG,Belgrade Nikola Tesla Airport,벨그라드 국제공항,유럽,Serbia,세르비아,Belgrade
BZE,Belize City Philip SW Goldson International Airport,필립 S.W. 골드선 국제공항  ,중남미,Belize,벨리즈,Belize
TZA,Belize City Municipal Airport,벨리즈 시립 공항,중남미,Belize,벨리즈,Belize City
ZEL,Bella Bella Airport,벨라벨라 공항,북미,Canada,캐나다,Bella Bella
QBC,Bella Coola Airport,벨라쿨라 공항,북미,Canada,캐나다,Bella Coola
BEP,Ballari Airport,벨라리 공항,아시아,India,인도,Bellary
BLV,St Louis MidAmerica Airport,미드어메리카 세이트 루인스 공항 / 스콧 공군기지,북미,United States of America,미국,Belleville
BLI,Bellingham International Airport,벨링헴 국제공항,북미,United States of America,미국,Bellingham
BNY,Bellona Airport,벨로나 아누아 공항,대양주,Solomon Islands,솔로몬제도,Bellona / Anua
BCV,Belmopan Airport,벨모판 공항,중남미,Belize,벨리즈,Belmopan
BMD,Belo Airport,벨로 쉬 치리비히나 공항,아프리카,Madagascar,마다가스카르,Belo
CNF,Belo Horizonte Tancredo Neves International Airport,탄크레도 니브스 국제공항  ,중남미,Brazil,브라질,Belo Horizonte
PLU,Belo Horizonte Pampulha Airport,팜풀하 공항,중남미,Brazil,브라질,Belo Horizonte
EYK,Beloyarsky Airport,벨로스타크 공항,유럽,Russian Federation,러시아,Beloyarsky
BJI,Bemidji Regional Airport,베미지 지역공항,북미,United States of America,미국,Bemidji
GMD,Ben Slimane Airport,벤슬리만 공항,아프리카,Morocco,모로코,Ben Slimane
BEB,Benbecula Airport,벤베쿠라 공항,유럽,United Kingdom,영국,Benbecula
BXG,Bendigo Airport,벤디고 공항,대양주,Australia,오스트레일리아,Bendigo
BFU,Bengbu Airport,방부 공항,아시아,China,중국,Bengbu
BEN,Benghazi Benina International Airport,베니나 국제공항,아프리카,Libya,리비아,Benghazi
BKS,Bengkulu Fatmawati Soekarno Airport,파당케밀링 공항,아시아,Indonesia,인도네시아,Bengkulu
BUG,Benguela Airport,제네널 V. 데스란데스 공항,아프리카,Angola,앙골라,Benguela
BNC,Beni Airport,베니 공항,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Beni
BNI,Benin City Airport,베닌 공항,아프리카,Nigeria,나이지리아,Benin City
BSP,Bensbach Airport,벤스바흐 공항,대양주,Papua New Guinea,파푸아뉴기니,Bensbach
BJT,Bentota River Airport,벤토타 강 공항,아시아,Sri Lanka,스리랑카,Bentota
BBO,Berbera Airport,베르베라 공항,아프리카,Somalia,소말리아,Berbera
YBV,Berens River Airport,베런즈 리버 공항,북미,Canada,캐나다,Berens River
BGO,Bergen Flesland Airport,플레스랜드 공항,유럽,Norway,노르웨이,Bergen
EGC,Bergerac Dordogne Perigord Airport,루마네레 공항,유럽,France,프랑스,Bergerac
BVG,Berlevag Airport,벨레보그 공항,유럽,Norway,노르웨이,Berlevag
BER,Berlin Brandenburg Airport,베를린 브란덴부르크 공항,유럽,Germany,독일,Berlin
BDA,Bermuda LF Wade International Airport,엘에프 웨이드 국제공항 ,북미,Bermuda,버뮤다제도,Bermuda
BRN,Bern Belp Airport,벨프 공항,유럽,Switzerland,스위스,Berne
BTA,Bertoua Airport,버투아 공항,아프리카,Cameroon,카메룬,Bertoua
BEZ,Beru Airport,베루아일랜드 공항,대양주,Kiribati,키리바시,Beru Island
BPY,Besalampy Airport,베살람피 공항,아프리카,Madagascar,마다가스카르,Besalampy
BET,Bethel Airport,베델 공항,북미,United States of America,미국,Bethel
BTT,Bettles Airport,베틀스 공항,북미,United States of America,미국,Bettles
BZR,Beziers Cap d'Agde Airport,베이지에르 비어스 공항,유럽,France,프랑스,Beziers
BWA,Siddharthanagar Gautam Buddha Airport,베어라와 공항,아시아,Nepal,네팔,Bhairahawa
BHR,Bharatpur Airport,바라퍼 공항,아시아,Nepal,네팔,Bharatpur
BUP,Bathinda Airport,비자냐 공군기지,아시아,India,인도,Bhatinda
BHU,Bhavnagar Airport,바브하가 공항,아시아,India,인도,Bhavnagar
BHP,Bhojpur Airport,보퍼 공항,아시아,Nepal,네팔,Bhojpur
BHO,Bhopal Raja Bhoj Airport,라자 보 공항 ,아시아,India,인도,Bhopal
